,name_x,city_x,index_dbase1,index_dbase2,status,JOB_START_DATE,JOB_END_DATE,EMPLOYER_STATE,name_y,city_y,st_cd,name,h2a_violtn_cnt,findings_start_date,findings_end_date,city,ld_dt
0,1.0,1.0,302,282653,CERTIFICATION,2017-10-19,2018-07-08,CA,MARTIN AUZA SHEEP COMPANY,BRAWLEY,CA,MARTIN AUZA SHEEP COMPANY,2,2015-07-10,2017-08-22,BRAWLEY,2020-01-27 11:37:34-05:00
1,1.0,1.0,1427,282653,CERTIFICATION,2017-11-20,2018-08-08,CA,MARTIN AUZA SHEEP COMPANY,BRAWLEY,CA,MARTIN AUZA SHEEP COMPANY,2,2015-07-10,2017-08-22,BRAWLEY,2020-01-27 11:37:34-05:00
2,1.0,1.0,5539,282653,CERTIFICATION,2018-02-20,2018-09-17,CA,MARTIN AUZA SHEEP COMPANY,BRAWLEY,CA,MARTIN AUZA SHEEP COMPANY,2,2015-07-10,2017-08-22,BRAWLEY,2020-01-27 11:37:34-05:00
3,1.0,1.0,11065,282653,CERTIFICATION,,2019-02-05,CA,MARTIN AUZA SHEEP COMPANY,BRAWLEY,CA,MARTIN AUZA SHEEP COMPANY,2,2015-07-10,2017-08-22,BRAWLEY,2020-01-27 11:37:34-05:00
4,1.0,1.0,1334,257530,CERTIFICATION,2017-11-22,2018-06-09,CA,"MCF4 SOLUTIONS, LLC",SANTA ROSA,CA,"MCF4 SOLUTIONS, LLC",4,2017-01-15,2017-05-22,SANTA ROSA,2018-08-14 00:04:11-04:00
5,1.0,1.0,1430,257530,CERTIFICATION,2017-11-22,2018-06-09,CA,"MCF4 SOLUTIONS, LLC",SANTA ROSA,CA,"MCF4 SOLUTIONS, LLC",4,2017-01-15,2017-05-22,SANTA ROSA,2018-08-14 00:04:11-04:00
6,1.0,1.0,1428,262550,CERTIFICATION,2017-11-28,2018-06-16,CA,"FOOTHILL PACKING, INC",SALINAS,CA,"FOOTHILL PACKING, INC",27,2016-04-04,2016-08-26,SALINAS,2019-07-13 00:22:58-04:00
7,1.0,1.0,1434,262550,CERTIFICATION,2017-11-15,2018-06-06,CA,"FOOTHILL PACKING, INC",SALINAS,CA,"FOOTHILL PACKING, INC",27,2016-04-04,2016-08-26,SALINAS,2019-07-13 00:22:58-04:00
8,1.0,1.0,2174,262550,CERTIFICATION,2017-12-13,2018-06-29,CA,"FOOTHILL PACKING, INC",SALINAS,CA,"FOOTHILL PACKING, INC",27,2016-04-04,2016-08-26,SALINAS,2019-07-13 00:22:58-04:00
9,1.0,1.0,2588,262550,CERTIFICATION,2017-12-13,2018-06-04,CA,"FOOTHILL PACKING, INC",SALINAS,CA,"FOOTHILL PACKING, INC",27,2016-04-04,2016-08-26,SALINAS,2019-07-13 00:22:58-04:00
10,1.0,1.0,3205,262550,CERTIFICATION,2018-01-04,2018-07-01,CA,"FOOTHILL PACKING, INC",SALINAS,CA,"FOOTHILL PACKING, INC",27,2016-04-04,2016-08-26,SALINAS,2019-07-13 00:22:58-04:00
11,1.0,1.0,4196,262550,CERTIFICATION,2018-01-24,2018-07-15,CA,"FOOTHILL PACKING, INC",SALINAS,CA,"FOOTHILL PACKING, INC",27,2016-04-04,2016-08-26,SALINAS,2019-07-13 00:22:58-04:00
12,1.0,1.0,5399,262550,CERTIFICATION,2018-01-31,2018-07-19,CA,"FOOTHILL PACKING, INC",SALINAS,CA,"FOOTHILL PACKING, INC",27,2016-04-04,2016-08-26,SALINAS,2019-07-13 00:22:58-04:00
13,1.0,1.0,5555,262550,CERTIFICATION,2018-02-08,2018-07-28,CA,"FOOTHILL PACKING, INC",SALINAS,CA,"FOOTHILL PACKING, INC",27,2016-04-04,2016-08-26,SALINAS,2019-07-13 00:22:58-04:00
14,1.0,1.0,6076,262550,CERTIFICATION,2018-02-15,2018-07-27,CA,"FOOTHILL PACKING, INC",SALINAS,CA,"FOOTHILL PACKING, INC",27,2016-04-04,2016-08-26,SALINAS,2019-07-13 00:22:58-04:00
15,1.0,1.0,6108,262550,CERTIFICATION,2018-02-16,2018-07-27,CA,"FOOTHILL PACKING, INC",SALINAS,CA,"FOOTHILL PACKING, INC",27,2016-04-04,2016-08-26,SALINAS,2019-07-13 00:22:58-04:00
